# German cities with PLZ ranges
# Format: city_name|plz_min|plz_max
Berlin|10115|14199
Hamburg|20095|22769
München|80331|81929
Köln|50667|51149
Frankfurt am Main|60306|60599
Stuttgart|70173|70619
Düsseldorf|40210|40629
Leipzig|04103|04357
Dresden|01067|01328
Hannover|30159|30659
Nürnberg|90402|90491
Bremen|28195|28779
Essen|45127|45359
Dortmund|44135|44388
Bonn|53111|53229
Heidelberg|69115|69126
Freiburg|79098|79117
Mainz|55116|55131
Rostock|18055|18147
Potsdam|14467|14482
Mannheim|68159|68309
Karlsruhe|76131|76229
Wiesbaden|65183|65207
Augsburg|86150|86199
Münster|48143|48167
Aachen|52062|52080
Kiel|24103|24159
Magdeburg|39104|39130
Lübeck|23552|23570
Erfurt|99084|99099
Kassel|34117|34134
Halle|06108|06132
Chemnitz|09111|09131
Braunschweig|38100|38126
Würzburg|97070|97084
Regensburg|93047|93059
Göttingen|37073|37085
Ulm|89073|89081
Konstanz|78462|78467
Trier|54290|54296
Osnabrück|49074|49090
Oldenburg|26121|26135
Darmstadt|64283|64297
Jena|07743|07751
Marburg|35037|35043
Gießen|35390|35398
Tübingen|72070|72076
Bamberg|96047|96052
Passau|94032|94036
